Marca;Expendeduría Euros/Cajetilla;Con Recargo Euros/Cajetilla
Adalya Adalya Power (50 g) CM;2,2;2,55
Adalya AppGrade (50 g) CM;2,2;2,55
Adalya Bagdadi (50 g) CM;2,2;2,55
Adalya Berlin Nights (1000 g) CM;33;37,95
Adalya Berlin Nights (50 g) CM;2,2;2,55
Adalya Berlin Nights (990 g) CM;33;37,95
Adalya Billionaire (50 g) CM;2,2;2,55
Adalya Black Cane Mnt (50 g) CM;2,2;2,55
Adalya Black Dragon (50 g) CM;2,1;2,4
Adalya Black Horchachi (50 g) CM;2,1;2,4
Adalya Black Lem Bry (50 g) CM;2,2;2,55
Adalya Black Pych (50 g) CM;2,2;2,55
Adalya Black Voodoo (50 g) CM;2,1;2,4
Adalya Blue Dragan (50 g) CM;2,2;2,55
Adalya Blue I´ss (200 g) CM;8;9,2
Adalya Blue I'ss (1000 g) CM;33;37,95
Adalya Blue I'ss (50 g) CM;2,2;2,55
Adalya Blue I'ss (990 g) CM;33;37,95
Adalya Blue Lych (50 g) CM;2,2;2,55
Adalya Blue Yellow (200 g) CM;8;9,2
Adalya Blue Yellow (50 g) CM;2,2;2,55
Adalya Chwng Kizz (1000 g) CM;31,95;36,75
Adalya Chwng Waterloo (50 g) CM;2,2;2,55
Adalya Chwng Wood Kizz (1000 g) CM;31,95;36,75
Adalya Chwng Wood Kizz (200 g) CM;8;9,2
Adalya Chwng Wood Kizz (50 g) CM;2,2;2,55
Adalya Cindy's (50 g) CM;2,2;2,55
Adalya Desperado (50 g) CM;2,2;2,55
Adalya Dragan Code (50 g) CM;2,2;2,55
Adalya Dulcinea (50 g) CM;2,2;2,55
Adalya Eskimo Leon  (50 g) CM;2,2;2,55
Adalya Esmeralda (50 g) CM;2,2;2,55
Adalya Exotic Rush (50 g) CM;2,2;2,55
Adalya Gipsy Kings (200 g) CM;8;9,2
Adalya Gipsy Kings (50 g) CM;2,2;2,55
Adalya Green Leon Kizz (50 g) CM;2,2;2,55
Adalya Hawaii (1000 g) CM;33;37,95
Adalya Hawaii (200 g) CM;8;9,2
Adalya Hawaii (50 g) CM;2,2;2,55
Adalya Hawaii (990 g) CM;33;37,95
Adalya I´ss Kaktu (50 g) CM;2,2;2,55
Adalya I'ss (50 g) CM;2,2;2,55
Adalya I'ss Boni (50 g) CM;2,2;2,55
Adalya I'ss Lie On The Rocks (1000 g) CM;33;37,95
Adalya I'ss Lie on the Rocks (50 g) CM;2,2;2,55
Adalya I'ss Lie On The Rocks (990 g) CM;33;37,95
Adalya Jungle Jungle (50 g) CM;2,2;2,55
Adalya Kizz (1000 g) CM;33;37,95
Adalya Kizz (200 g) CM;6,95;8
Adalya Kizz (50 g) CM;2,2;2,55
Adalya Kizz 2.0 (990 g) CM;33;37,95
Adalya Krosty App (50 g) CM;2,1;2,4
Adalya L. Kill (1000 g) CM;33;37,95
Adalya L. Kill (200 g) CM;8;9,2
Adalya L. Kill (50 g) CM;2,2;2,55
Adalya L. Kill 2.0 (990 g) CM;33;37,95
Adalya La Bonita (50 g) CM;2,2;2,55
Adalya Leon Pi (50 g) CM;2,2;2,55
Adalya Love66 (1000 g) CM;33;37,95
Adalya Love66 (200 g) CM;8;9,2
Adalya Love66 (50 g) CM;2,2;2,55
Adalya Love66 (990 g) CM;33;37,95
Adalya M.M. (50 g) CM;2,1;2,4
Adalya Manko Tanko (50 g) CM;2,2;2,55
Adalya Manko Tanko I'ss (1000 g) CM;33;37,95
Adalya Manko Tanko I'ss (200 g) CM;8;9,2
Adalya Manko Tanko I'ss (50 g) CM;2,2;2,55
Adalya Manko Tanko I'ss (990 g) CM;33;37,95
